ds,y
2009-12,2
2010-01,6339
2010-02,7008
2010-03,15598
2010-04,7903
2010-05,4892
2010-06,4736
2010-07,3028
2010-08,3110
2010-09,2838
2010-10,2841
2010-11,2783
2010-12,2723
2011-01,5499
2011-02,12450
2011-03,11840
2011-04,7524
2011-05,6004
2011-06,4249
2011-07,3204
2011-08,3179
2011-09,3175
2011-10,3054
2011-11,2878
2011-12,3261
2012-01,4639
2012-02,3770
2012-03,4685
2012-04,3441
2012-05,3912
2012-06,3680
2012-07,3143
2012-08,3086
2012-09,2942
2012-10,2902
2012-11,2785
2012-12,3550
2013-01,5293
2013-02,6647
2013-03,6872
2013-04,4799
2013-05,4441
2013-06,4662
2013-07,3709
2013-08,2782
2013-09,2521
2013-10,2420
2013-11,2002
2013-12,3881
2014-01,8410
2014-02,15786
2014-03,12865
2014-04,9863
2014-05,10239
2014-06,8178
2014-07,5028
2014-08,3458
2014-09,3546
2014-10,3461
2014-11,2873
2014-12,4782
2015-01,5632
2015-02,8476
2015-03,23452
2015-04,13310
2015-05,8116
2015-06,7717
2015-07,5191
2015-08,5459
2015-09,3953
2015-10,3893
2015-11,3019
2015-12,4295
2016-01,4818
2016-02,7571
2016-03,9227
2016-04,6748
2016-05,6218
2016-06,5927
2016-07,3803
2016-08,4133
2016-09,3318
2016-10,3451
2016-11,3417
2016-12,4393
2017-01,6387
2017-02,5862
2017-03,7564
2017-04,9709
2017-05,6680
2017-06,6630
2017-07,4043
2017-08,3943
2017-09,3343
2017-10,3199
2017-11,2673
2017-12,4050
2018-01,5477
2018-02,10629
2018-03,10098
2018-04,7607
2018-05,7628
2018-06,5869
2018-07,4602
2018-08,4523
2018-09,3557
2018-10,3786
2018-11,3119
2018-12,4658
2019-01,5629
2019-02,5139
2019-03,8095
2019-04,6164
2019-05,6660
2019-06,5129
2019-07,4232
2019-08,3814
2019-09,3249
2019-10,3158
2019-11,2613
2019-12,4768
2020-01,4239
2020-02,4588
2020-03,5507
2020-04,1946
2020-05,2080
2020-06,2244
2020-07,2445
2020-08,2040
2020-09,1859
2020-10,1639
2020-11,1650
2020-12,2904
2021-01,3669
2021-02,3933
2021-03,7107
2021-04,6618
2021-05,4212
2021-06,4585
2021-07,3577
2021-08,2913
2021-09,3213
2021-10,2691
2021-11,2455
2021-12,3705
2022-01,4364
2022-02,6779
2022-03,6786
2022-04,6279
2022-05,5628
2022-06,5041
2022-07,3603
2022-08,3333
2022-09,2802
2022-10,3106
2022-11,2881
2022-12,3746
2023-01,5284
2023-02,4952
2023-03,5060
2023-04,2915
2023-05,3276
2023-06,3705
2023-07,2740
2023-08,2561
2023-09,2204
2023-10,2543
2023-11,2225
2023-12,2875
2024-01,3461
2024-02,4098
2024-03,6031
2024-04,6045
2024-05,4485
2024-06,3828
2024-07,3050
2024-08,2691
2024-09,2495
2024-10,2112
2024-11,2074
2024-12,3707
2025-01,3934
2025-02,4021
2025-03,4735
2025-04,4403
2025-05,4662
2025-06,4520
2025-07,3156
2025-08,2924
2025-09,2785
2025-10,2601
2025-11,2185
2025-12,3316
2026-01,3672
2026-02,5451
2026-03,25171
2026-04,12179
2026-05,7868
2026-06,6620
2026-07,5290
