full,val1,val2,avg,cv,test
B (multiplicative) | cp=none,6.0,16.8,11.4,21.7,33.9
B (multiplicative) | cp=auto,14.7,9.6,12.2,19.7,32.4
B (multiplicative) | cp=events,13.1,11.6,12.4,18.7,27.2
B (multiplicative) | cp=regressors,13.5,11.4,12.5,31.3,28.2
B (multiplicative) | cp=auto-flexible+regressors,17.9,11.5,14.7,32.2,24.4
B (multiplicative) | cp=events+regressors,16.6,13.0,14.8,31.6,24.5
A (additive-smooth) | cp=events,16.3,13.4,14.9,25.9,33.5
A (additive-smooth) | cp=auto-flexible,17.7,13.5,15.6,26.5,33.5
B (multiplicative) | cp=auto-flexible,19.8,11.6,15.7,22.5,32.4
B (multiplicative) | cp=auto+regressors,22.6,9.6,16.1,32.3,26.2
A (additive-smooth) | cp=events+regressors,23.0,9.5,16.3,35.9,25.6
C (additive-flex) | cp=auto+regressors,7.9,27.0,17.4,32.3,39.6
C (additive-flex) | cp=events+regressors,11.5,23.6,17.5,33.2,37.3
C (additive-flex) | cp=none,9.8,25.8,17.8,26.9,37.5
C (additive-flex) | cp=auto-flexible+regressors,8.1,27.6,17.8,32.7,39.7
A (additive-smooth) | cp=auto+regressors,23.3,12.4,17.9,41.8,23.3
A (additive-smooth) | cp=auto,18.1,17.6,17.9,26.6,36.2
A (additive-smooth) | cp=none,9.8,26.0,17.9,26.9,37.6
A (additive-smooth) | cp=auto-flexible+regressors,28.2,8.7,18.5,49.2,27.2
C (additive-flex) | cp=regressors,24.8,14.9,19.9,40.1,27.4
A (additive-smooth) | cp=regressors,24.8,14.9,19.9,40.1,27.4
C (additive-flex) | cp=auto,15.8,43.7,29.8,33.3,50.3
D (flat-trend) | cp=none,34.7,25.0,29.9,34.9,28.6
D (flat-trend) | cp=auto,34.7,25.0,29.9,34.9,28.6
D (flat-trend) | cp=events,34.7,25.0,29.9,34.9,28.6
D (flat-trend) | cp=auto-flexible,34.7,25.0,29.9,34.9,28.6
C (additive-flex) | cp=auto-flexible,16.3,43.7,30.0,34.0,50.8
C (additive-flex) | cp=events,17.7,45.2,31.5,33.6,51.4
D (flat-trend) | cp=regressors,40.0,30.6,35.3,43.4,30.1
D (flat-trend) | cp=events+regressors,40.0,30.6,35.3,43.4,30.1
D (flat-trend) | cp=auto+regressors,40.0,30.6,35.3,43.4,30.1
D (flat-trend) | cp=auto-flexible+regressors,40.0,30.6,35.3,43.4,30.1
